Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
Alfonso Rivas*,26,PIT,6,14,1,0,0.741,100,41,1,3,1,1,0,106
Víctor Robles,26,WSN,15,8,8,1,0.75,110,39,3,4,4,0,0,126
Brendan Rodgers,26,COL,21,20,0,0,0.7,80,69,6,3,0,0,0,192
JoJo Romero*,26,STL,0,0,0,0,,,0,0,0,0,0,0,0
Blake Rutherford*,26,WSN,4,2,0,0,0.366,3,6,1,0,0,0,0,36
Tony Santillan,26,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Kevin Smith,26,OAK,15,11,1,0,0.546,54,44,3,1,5,0,0,146
Tyler Stephenson,26,CIN,59,56,0,1,0.696,87,176,16,4,0,1,2,517
Cal Stevenson*,26,SFG,1,0,0,0,0.25,-21,0,0,0,0,0,0,12
Abraham Toro#,26,MIL,4,9,0,0,1.302,252,14,0,1,0,0,0,21
Gleyber Torres,26,NYY,90,68,13,6,0.8,118,270,19,3,0,6,0,672
Cole Tucker#,26,COL,2,2,0,0,1.1,190,4,0,1,0,0,0,10
Kyle Tucker*,26,HOU,97,112,30,5,0.886,142,297,11,3,0,10,9,674
Luis Urías,26,TOT,18,18,0,0,0.636,76,43,4,10,0,0,0,177
Luis Urías,26,MIL,5,5,0,0,0.535,50,13,1,5,0,0,0,68
Luis Urías,26,BOS,13,13,0,0,0.698,91,30,3,5,0,0,0,109
Daulton Varsho*,26,TOR,65,61,16,7,0.674,85,205,5,4,1,3,0,581
Terrin Vavra*,26,BAL,9,5,1,0,0.56,62,12,5,0,2,0,0,56
Matt Vierling,26,DET,63,44,6,6,0.717,96,186,8,5,1,1,1,530
David Villar,26,SFG,15,12,1,1,0.55,51,39,1,4,0,1,0,140
Meibrys Viloria*,26,CLE,0,0,0,0,0.25,-20,0,1,0,0,0,0,4
Taylor Walls#,26,TBR,50,36,22,1,0.638,79,101,1,1,1,0,0,349
Luke Williams,26,TOT,1,0,4,0,0.105,-71,1,0,0,0,0,0,19
Luke Williams,26,LAD,0,0,1,0,0.2,-46,1,0,0,0,0,0,10
Luke Williams,26,ATL,1,0,3,0,0,-100,0,0,0,0,0,0,9
Willy Adames,27,MIL,73,80,5,3,0.717,95,225,12,6,0,6,1,638
Riley Adams,27,WSN,8,21,0,0,0.807,120,68,5,2,1,1,0,158
José Azocar,27,SDP,16,9,8,2,0.641,78,33,2,2,5,0,0,102
Rylan Bannon,27,HOU,0,0,0,0,0,-100,0,0,0,0,0,0,6
Jake Bauers*,27,NYY,28,30,3,2,0.693,87,100,3,0,0,3,0,272
Mike Baumann,27,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Cody Bellinger*,27,CHC,95,97,20,6,0.881,133,262,7,5,0,12,3,556
Sean Bouchard,27,COL,11,7,0,1,1.056,165,26,0,0,0,1,0,43
Jonah Bride,27,OAK,9,7,0,1,0.49,45,18,3,4,1,2,0,106
Jake Burger,27,TOT,71,80,1,1,0.828,120,255,4,12,0,4,0,540
Jake Burger,27,CHW,44,52,1,1,0.806,113,155,3,5,0,2,0,323
Jake Burger,27,MIA,27,28,0,0,0.86,130,100,1,7,0,2,0,217
Yu Chang,27,BOS,12,18,4,0,0.552,45,37,2,2,2,0,0,112
Michael Chavis,27,WSN,16,5,1,0,0.622,72,31,3,0,0,0,0,96
Kody Clemens*,27,PHI,15,13,0,0,0.644,75,51,1,1,0,0,0,148
Ernie Clement,27,TOR,7,10,1,0,0.885,144,25,0,0,0,1,0,52
Kutter Crawford,27,BOS,1,0,0,0,,,0,0,0,0,0,0,0
Tyler Cropley,27,KCR,0,1,0,0,0.31,-15,1,0,0,0,1,0,7
Isan Díaz*,27,TOT,0,1,0,0,0.157,-54,1,0,0,0,0,0,26
Isan Díaz*,27,SFG,0,1,0,0,0.195,-42,1,0,0,0,0,0,21
Isan Díaz*,27,DET,0,0,0,0,0,-100,0,0,0,0,0,0,5
Drew Ellis,27,PHI,4,4,0,1,0.858,134,11,0,0,0,0,0,29
Thairo Estrada,27,SFG,63,49,23,7,0.731,101,206,10,11,0,2,1,530
Stuart Fairchild,27,CIN,34,28,10,3,0.71,90,85,2,6,3,2,0,255
TJ Friedl*,27,CIN,73,66,27,6,0.819,118,228,0,10,8,3,1,556
David Fry,27,CLE,12,15,2,0,0.734,104,42,3,4,0,0,0,113
Stone Garrett,27,WSN,40,40,3,1,0.801,120,107,6,3,0,5,0,271
Victor González*,27,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Nick Gordon*,27,MIN,13,7,0,0,0.503,35,29,1,0,1,0,0,93
Tristan Gray*,27,TBR,1,1,0,0,1.4,272,5,0,0,0,0,0,5
Dalton Guthrie,27,PHI,4,0,0,0,0.494,40,5,0,1,0,0,0,28
Darick Hall*,27,PHI,2,3,0,0,0.437,20,13,2,0,0,0,0,56
Adam Haseley*,27,CHW,6,2,1,0,0.56,54,10,1,0,0,0,0,39
Austin Hays,27,BAL,76,67,5,1,0.769,114,231,11,3,0,5,1,566
David Hensley,27,HOU,12,3,1,0,0.379,8,14,0,0,0,0,0,94
Derek Hill,27,WSN,3,1,1,0,0.411,16,9,0,0,0,0,0,50
Bryce Johnson#,27,SFG,7,3,3,0,0.485,35,11,0,0,0,1,0,48
Corey Julks,27,HOU,35,33,15,3,0.65,79,105,6,1,0,2,0,323
Ha-Seong Kim,27,SDP,84,60,38,9,0.749,110,214,7,3,5,5,1,626
Mark Kolozsvary,27,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Alex Lange,27,DET,0,0,0,0,,,0,0,0,0,0,0,0
Kyle Lewis,27,ARI,2,2,0,0,0.459,25,13,0,0,0,0,0,54
Alejo López#,27,CIN,1,1,0,0,1.5,290,2,0,0,0,0,0,2
Nathaniel Lowe*,27,TEX,89,82,1,0,0.775,111,258,22,5,0,3,2,724
Bligh Madris*,27,HOU,4,0,0,0,0.459,31,5,0,0,0,0,0,30
J.P. Martínez*,27,TEX,7,4,0,0,0.575,55,13,0,0,0,2,0,44
Miles Mastrobuoni*,27,CHC,24,5,13,1,0.609,65,40,1,0,3,0,0,149
Francisco Mejía#,27,TBR,22,19,0,1,0.658,80,60,2,1,1,2,0,160
Jake Meyers,27,HOU,42,33,5,2,0.678,86,118,2,5,0,1,0,341
Dane Myers,27,MIA,9,9,1,1,0.644,74,24,1,0,0,1,0,70
Ryan Noda*,27,OAK,63,54,3,1,0.77,121,165,4,10,0,2,1,495
Edward Olivares,27,KCR,47,36,11,5,0.769,109,160,7,7,0,2,1,385
Joshua Palacios*,27,PIT,26,40,5,0,0.692,86,102,7,2,2,1,0,264
Cionel Pérez,27,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Logan Porter,27,KCR,4,3,0,0,0.647,80,10,2,1,1,0,0,38
Franmil Reyes,27,KCR,5,7,0,0,0.519,42,17,3,0,0,2,0,65
Emmanuel Rivera,27,ARI,32,29,1,0,0.672,84,92,9,0,0,4,0,283
Amed Rosario,27,TOT,70,58,15,2,0.683,89,193,15,3,0,3,0,545
Amed Rosario,27,CLE,51,40,9,0,0.675,88,142,11,2,0,3,0,412
Amed Rosario,27,LAD,19,18,6,2,0.709,89,51,4,1,0,0,0,133
César Salazar*,27,HOU,1,0,0,0,0.269,-23,2,1,0,0,0,0,19
Chandler Seagle,27,SDP,0,0,0,0,0,-100,0,0,0,0,0,0,1
Gavin Sheets*,27,CHW,24,43,1,0,0.599,63,103,6,1,0,4,2,344
José Siri,27,TBR,58,56,12,3,0.761,106,167,5,2,1,3,0,364
Pavin Smith*,27,ARI,26,30,1,1,0.642,77,62,3,1,0,0,0,228
Edmundo Sosa,27,PHI,34,30,4,2,0.719,95,119,10,9,2,1,0,300
Michael Stefanic,27,LAA,5,6,0,1,0.735,103,22,0,1,0,0,0,71
Lane Thomas,27,WSN,101,86,20,5,0.783,114,294,5,11,0,7,0,682
Luis Torrens,27,TOT,1,4,0,0,0.657,79,10,0,1,0,0,0,30
Luis Torrens,27,CHC,1,3,0,0,0.618,68,6,0,1,0,0,0,22
Luis Torrens,27,SEA,0,1,0,0,0.75,105,4,0,0,0,0,0,8
Alan Trejo,27,COL,24,26,5,1,0.631,63,71,3,1,1,2,0,227
Alex Verdugo*,27,BOS,81,54,5,3,0.745,100,230,11,6,0,5,1,602
Alex Vesia*,27,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Forrest Wall*,27,ATL,6,2,5,1,1.379,264,11,0,0,0,0,0,15
Garrett Whitlock,27,BOS,0,0,0,0,,,0,0,0,0,0,0,0
Connor Wong,27,BOS,55,36,8,2,0.673,80,143,4,6,3,1,0,403
Jared Young*,27,CHC,8,8,2,0,0.72,88,20,1,1,0,0,0,47
Pete Alonso,28,NYM,92,118,4,1,0.821,122,286,17,21,0,4,6,658
Miguel Andújar,28,PIT,9,18,2,0,0.776,108,40,1,0,0,0,0,90
Orlando Arcia,28,ATL,66,65,1,0,0.741,98,205,14,3,0,3,0,533
Randy Arozarena,28,TBR,95,83,22,10,0.789,120,234,10,18,0,5,1,654
Christian Arroyo,28,BOS,23,24,1,3,0.638,70,72,8,1,1,2,0,206
Bryan Baker,28,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Tres Barrera,28,STL,0,0,0,0,0,-100,0,0,0,0,0,0,2
Matthew Batten,28,SDP,19,11,2,2,0.713,101,43,0,1,1,0,0,139
Andrew Benintendi*,28,CHW,72,45,13,2,0.682,87,200,12,3,1,3,5,621
Cavan Biggio*,28,TOR,54,40,5,2,0.71,98,107,0,7,0,2,0,338
Willie Calhoun*,28,NYY,16,16,0,0,0.712,94,54,2,0,0,1,1,149
Alex Call,28,WSN,43,38,9,8,0.614,72,115,1,6,3,2,0,439
Miguel Castro,28,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Zack Collins*,28,CLE,0,0,0,0,1.167,236,2,0,0,0,0,0,6
Franchy Cordero*,28,NYY,9,13,0,0,0.69,81,33,0,0,0,0,0,71
Carlos Correa,28,MIN,60,65,0,0,0.711,94,205,30,4,0,3,3,580
J.P. Crawford*,28,SEA,94,65,2,0,0.818,131,234,7,5,3,2,1,638
Bobby Dalbec,28,BOS,6,1,1,0,0.57,54,15,0,0,0,0,0,53
Jason Delay,28,PIT,20,18,0,0,0.666,83,58,5,3,2,1,0,187
Mauricio Dubón,28,HOU,76,46,7,2,0.72,97,192,10,3,0,3,0,492
Tommy Edman#,28,STL,69,47,27,4,0.705,91,191,9,7,3,4,1,528
Santiago Espinal,28,TOR,30,25,2,1,0.644,80,77,5,3,2,1,1,254
Freddy Fermin,28,KCR,26,32,0,0,0.781,112,100,11,1,1,3,0,235
Jake Fraley*,28,CIN,41,65,21,5,0.783,109,149,5,6,0,1,2,380
Ty France,28,SEA,79,58,1,0,0.703,99,215,25,34,0,1,0,665
Clint Frazier,28,CHW,10,3,4,2,0.545,52,16,0,0,0,0,0,76
Luis Guillorme*,28,NYM,12,9,0,0,0.615,70,35,4,0,2,1,1,120
Caleb Hamilton,28,BOS,0,0,0,0,0.167,-49,0,0,0,0,0,0,6
Garrett Hampson,28,MIA,30,23,5,0,0.729,98,84,3,3,3,2,0,252
Ian Happ#,28,CHC,86,84,14,3,0.791,112,250,12,6,0,6,2,691
Taylor Hearn*,28,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Taylor Hearn*,28,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Taylor Hearn*,28,TEX,0,0,0,0,,,0,0,0,0,0,0,0
Jonah Heim#,28,TEX,61,95,2,0,0.755,103,200,10,1,0,3,2,501
Ryan Helsley,28,STL,0,0,0,0,,,0,0,0,0,0,0,0
Cooper Hummel#,28,SEA,2,0,1,0,0.323,-6,3,1,1,0,0,0,26
Danny Jansen,28,TOR,38,53,0,0,0.786,115,127,3,10,0,0,1,301
Joe Jiménez,28,ATL,0,0,0,0,,,0,0,0,0,0,0,0
Anthony Kay*,28,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Anthony Kay*,28,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Carson Kelly,28,TOT,13,13,1,0,0.565,56,39,2,0,0,1,0,151
Carson Kelly,28,ARI,6,6,1,0,0.58,60,25,2,0,0,1,0,92
Carson Kelly,28,DET,7,7,0,0,0.54,50,14,0,0,0,0,0,59
Isiah Kiner-Falefa,28,NYY,39,37,14,5,0.646,78,111,12,3,1,3,0,361
John King*,28,TOT,0,0,0,0,,,0,0,0,0,0,0,0
John King*,28,TEX,0,0,0,0,,,0,0,0,0,0,0,0
Andrew Knizner,28,STL,30,31,2,0,0.712,92,95,8,3,1,1,0,241
Taylor Kohlwey*,28,SDP,0,0,0,0,0.308,-13,2,0,0,0,0,0,13
Ramón Laureano,28,TOT,46,35,12,1,0.676,91,134,9,9,0,1,0,404
Ramón Laureano,28,OAK,24,21,8,0,0.645,83,82,5,4,0,0,0,246
Ramón Laureano,28,CLE,22,14,4,1,0.724,103,52,4,5,0,1,0,158
Justin Lawrence,28,COL,0,0,0,0,,,0,0,0,0,0,0,0
Josh Lester*,28,BAL,0,4,0,0,0.399,15,4,1,0,0,0,0,23
Irving Lopez*,28,STL,0,1,0,0,0,-100,0,0,0,0,1,0,12
Nicky Lopez*,28,TOT,32,25,6,2,0.632,75,69,3,6,4,1,0,262
Nicky Lopez*,28,KCR,19,13,4,2,0.604,69,45,3,5,4,0,0,190
Nicky Lopez*,28,ATL,13,12,2,0,0.703,89,24,0,1,0,1,0,72
Brandon Lowe*,28,TBR,58,68,7,0,0.771,113,167,8,6,0,3,0,436
Nathan Lukes*,28,TOR,4,2,0,0,0.598,67,8,1,0,0,1,0,31
Manuel Margot,28,TBR,39,38,9,3,0.686,91,117,6,4,0,3,0,336
Seth Martinez,28,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Jorge Mateo,28,BAL,58,34,32,5,0.607,70,108,8,1,5,3,0,350
Mark Mathias,28,TOT,6,6,3,0,0.591,66,16,4,0,0,0,0,72
Mark Mathias,28,PIT,5,4,3,0,0.624,75,14,3,0,0,0,0,62
Mark Mathias,28,SFG,1,2,0,0,0.4,12,2,1,0,0,0,0,10
Chas McCormick,28,HOU,59,70,19,6,0.842,130,197,3,11,1,2,0,457
Mason McCoy,28,TOR,2,0,0,0,0,-100,0,0,0,0,0,0,1
Reese McGuire*,28,BOS,15,16,2,1,0.668,80,67,2,1,2,1,0,206
Billy McKinney*,28,NYY,19,14,1,0,0.726,98,52,1,1,0,1,1,147
Zach McKinstry*,28,DET,60,35,16,6,0.654,79,163,3,5,2,3,0,518
Ryan McMahon*,28,COL,80,70,5,5,0.753,93,239,19,1,0,3,2,627
Austin Meadows*,28,DET,0,2,0,0,0.524,43,6,0,0,0,0,0,21
Óscar Mercado,28,STL,3,5,2,1,0.7,90,12,0,0,0,0,0,32
Yoán Moncada#,28,CHW,39,40,1,0,0.73,97,142,6,2,0,1,0,357
Cedric Mullins*,28,BAL,51,74,19,3,0.721,101,168,6,1,3,4,1,455
Sean Murphy,28,ATL,65,68,0,0,0.844,125,177,18,18,0,1,0,438
Tyler O'Neill,28,STL,27,21,5,0,0.715,94,96,5,0,0,0,0,266
Shohei Ohtani*,28,LAA,102,95,20,6,1.066,184,325,9,3,0,3,21,599
Chris Okey,28,LAA,0,0,0,0,0,-100,0,0,0,0,0,0,2
Luke Raley*,28,TBR,56,49,14,3,0.824,126,175,2,18,1,2,0,406
Harold Ramírez,28,TBR,58,68,5,3,0.813,125,184,7,6,0,6,0,434
Bryan Reynolds#,28,PIT,85,84,12,1,0.79,113,264,13,7,0,6,2,640
Jake Rogers,28,DET,47,49,1,1,0.73,96,147,6,3,1,2,0,365
Brent Rooker,28,OAK,61,69,4,0,0.817,130,226,11,10,0,4,1,526
José Ruiz,28,TOT,0,0,0,0,,,0,0,0,0,0,0,0
José Ruiz,28,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Anthony Santander#,28,BAL,81,95,5,1,0.797,121,279,11,6,0,4,1,656
Nick Senzel,28,CIN,49,42,6,2,0.696,85,120,9,1,0,2,0,330
Brian Serven,28,COL,0,1,0,0,0.304,-22,4,0,0,0,0,0,23
Zack Short,28,DET,17,33,5,0,0.631,73,75,3,0,3,1,0,253
Dominic Smith*,28,WSN,57,46,1,1,0.692,92,193,12,10,0,2,1,586
Will Smith,28,LAD,80,76,3,0,0.797,114,203,8,15,0,12,2,554
Nick Solak,28,TOT,1,0,0,0,,,0,0,0,0,0,0,0
Nick Solak,28,ATL,1,0,0,0,,,0,0,0,0,0,0,0
Nick Solak,28,DET,0,0,0,0,,,0,0,0,0,0,0,0
Myles Straw,28,CLE,52,29,20,6,0.597,69,137,10,2,6,6,0,518
Seiya Suzuki,28,CHC,75,74,6,7,0.842,124,250,8,2,0,7,3,583
Rowdy Tellez*,28,MIL,26,47,0,0,0.667,82,117,11,0,0,5,2,351
Matt Thaiss*,28,LAA,32,31,2,0,0.659,80,89,4,6,0,3,1,307
Cody Thomas*,28,OAK,1,2,0,0,0.685,95,16,1,0,0,0,0,46
Chadwick Tromp,28,ATL,1,1,0,0,0.313,-17,3,0,0,0,0,0,16
Andrew Velazquez,28,LAA,12,3,13,3,0.548,50,23,1,0,3,0,0,94
Will Vest,28,DET,0,0,0,0,,,0,0,0,0,0,0,0
Tyler Wade*,28,OAK,8,2,4,0,0.623,80,16,0,0,0,0,0,55
Weston Wilson,28,PHI,5,2,3,1,1,177,8,0,0,0,0,0,22
Harrison Bader,29,TOT,44,40,20,3,0.622,69,111,7,3,1,4,0,344
Harrison Bader,29,NYY,40,37,17,2,0.643,75,105,6,3,1,4,0,310
Harrison Bader,29,CIN,4,3,3,1,0.429,18,6,1,0,0,0,0,34
José Berríos,29,TOR,0,0,0,0,,,0,0,0,0,0,0,0
Alex Bregman,29,HOU,103,98,3,1,0.804,122,274,22,8,0,2,1,724
Mike Brosseau,29,MIL,4,8,0,0,0.654,76,29,2,1,0,0,0,78
Aaron Bummer*,29,CHW,0,0,0,0,,,0,0,0,0,0,0,0
Byron Buxton,29,MIN,49,42,9,0,0.731,98,133,3,4,0,4,2,347
Johan Camargo#,29,SFG,0,2,0,0,0.522,49,4,2,1,0,0,0,20
Jeimer Candelario#,29,TOT,77,70,8,1,0.807,119,238,11,13,0,4,1,576
Jeimer Candelario#,29,WSN,57,53,6,1,0.823,125,177,10,12,0,2,1,419
Jeimer Candelario#,29,CHC,20,17,2,0,0.764,103,61,1,1,0,2,0,157
Yennier Cano,29,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Víctor Caratini#,29,MIL,23,25,1,1,0.711,95,77,8,3,0,3,0,226
Harold Castro*,29,COL,24,31,1,0,0.589,52,81,5,0,1,2,0,270
Jake Cronenworth*,29,SDP,54,48,6,1,0.689,92,173,8,11,1,5,2,522
David Dahl*,29,SDP,1,1,0,0,0.556,45,4,0,0,0,0,0,9
Yonathan Daza,29,COL,8,7,1,0,0.655,69,26,5,1,1,1,0,80
Paul DeJong,29,TOT,40,37,4,4,0.674,82,129,9,5,0,2,0,356
Paul DeJong,29,TOT,41,38,4,4,0.612,66,132,10,5,0,2,0,400
Paul DeJong,29,STL,38,32,4,4,0.71,92,115,8,5,0,1,0,306
Paul DeJong,29,TOR,1,1,0,0,0.136,-62,3,1,0,0,0,0,44
Paul DeJong,29,SFG,2,5,0,0,0.466,26,14,1,0,0,1,0,50
David Fletcher,29,LAA,7,12,0,0,0.628,72,29,2,0,1,0,1,97
Shintaro Fujinami,29,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Shintaro Fujinami,29,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Joey Gallo*,29,MIN,39,40,1,1,0.741,101,124,3,2,0,0,1,332
Ian Gibaut,29,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Kevin Ginkel*,29,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Lourdes Gurriel Jr.,29,ARI,65,82,5,0,0.772,108,255,20,6,0,2,1,592
Josh Hader*,29,SDP,0,0,0,0,,,0,0,0,0,0,0,0
Sam Haggerty#,29,SEA,13,5,10,1,0.705,102,31,0,1,1,0,0,108
Sam Hilliard*,29,ATL,15,6,4,0,0.725,92,31,1,0,0,0,0,78
Francisco Lindor#,29,NYM,108,98,31,4,0.806,120,283,8,12,0,7,1,687
Jordan Luplow,29,TOT,11,5,2,0,0.647,80,25,1,1,0,0,1,90
Jordan Luplow,29,TOR,1,1,0,0,0.567,64,3,0,0,0,0,1,17
Jordan Luplow,29,MIN,10,4,2,0,0.664,83,22,1,1,0,0,0,73
Ketel Marte#,29,ARI,94,82,8,2,0.844,128,276,16,5,0,5,2,650
Danny Mendick,29,NYM,4,4,1,0,0.509,40,18,1,0,0,0,0,69
Penn Murfee,29,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Kevin Newman,29,CIN,28,28,8,1,0.675,81,82,7,4,2,5,0,253
Tomás Nido,29,NYM,5,1,0,0,0.278,-22,7,2,0,2,1,0,61
Ryan O'Hearn*,29,BAL,48,60,5,1,0.801,122,166,2,3,1,3,2,368
Brian O'Keefe,29,SEA,0,2,0,0,0.401,14,4,2,0,0,0,0,21
Rougned Odor*,29,SDP,21,18,2,1,0.654,83,49,2,2,0,0,0,157
Matt Olson*,29,ATL,127,139,1,0,0.993,162,367,13,4,0,4,8,720
Brett Phillips*,29,LAA,9,6,3,1,0.601,63,21,0,0,0,0,0,71
Jorge Polanco#,29,MIN,38,48,4,0,0.789,115,137,2,2,0,3,0,343
Zach Remillard,29,CHW,16,18,4,3,0.615,69,47,3,1,4,0,1,160
Pablo Reyes,29,BOS,27,20,7,2,0.716,94,63,3,0,2,2,0,185
Edwin Ríos*,29,CHC,3,2,0,0,0.45,23,6,0,1,0,0,0,34
Josh Rojas*,29,TOT,47,40,12,0,0.641,78,106,3,1,2,4,0,350
Josh Rojas*,29,ARI,23,26,6,0,0.589,62,56,2,1,2,4,0,216
Josh Rojas*,29,SEA,24,14,6,0,0.721,103,50,1,0,0,0,0,134
Michael Rucker,29,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Josh Sborz,29,TEX,0,0,0,0,0,-100,0,0,0,0,0,0,1
John Schreiber,29,BOS,0,0,0,0,,,0,0,0,0,0,0,0
Corey Seager*,29,TEX,88,96,2,1,1.013,170,297,9,4,0,6,9,536
Lucas Sims,29,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Andrew Stevenson*,29,MIN,4,1,4,1,0.466,31,8,0,1,0,0,0,40
DJ Stewart*,29,NYM,21,26,1,1,0.84,128,81,3,7,1,1,0,185
Brett Sullivan*,29,SDP,7,6,0,0,0.528,48,23,1,0,0,1,0,86
Dansby Swanson,29,CHC,81,80,9,1,0.744,99,235,9,5,0,2,0,638
Raimel Tapia*,29,TOT,18,10,8,1,0.71,93,35,1,0,0,0,0,108
Raimel Tapia*,29,TOT,28,13,10,2,0.655,79,50,2,1,1,1,0,169
Raimel Tapia*,29,BOS,14,10,6,1,0.701,90,32,1,0,0,0,0,97
Raimel Tapia*,29,MIL,10,3,2,1,0.555,53,15,1,1,1,1,0,61
Raimel Tapia*,29,TBR,4,0,2,0,0.788,126,3,0,0,0,0,0,11
Tyrone Taylor,29,MIL,36,35,9,0,0.713,91,103,10,3,0,1,0,243
Ramón Urías,29,BAL,45,42,3,1,0.703,98,135,10,8,0,1,0,396
Jason Vosler*,29,CIN,6,10,0,0,0.571,49,23,0,0,0,0,0,65
LaMonte Wade Jr.*,29,SFG,64,45,2,0,0.79,119,179,4,6,4,4,3,519
Jared Walsh*,29,LAA,10,11,0,0,0.494,33,29,1,1,0,0,0,116
Taylor Ward,29,LAA,60,47,4,2,0.756,105,150,9,8,0,6,0,409
Eli White,29,ATL,1,0,0,0,0.307,-11,1,0,1,0,0,0,17
Jesse Winker*,29,MIL,16,23,0,0,0.567,60,41,0,4,0,1,0,197
Masataka Yoshida*,29,BOS,71,72,8,0,0.783,109,239,20,7,0,2,0,580
Alex Young*,29,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Seby Zavala,29,TOT,17,18,1,0,0.545,47,55,4,2,2,2,0,193
Seby Zavala,29,CHW,15,16,1,0,0.511,37,49,4,1,2,2,0,176
Seby Zavala,29,ARI,2,2,0,0,0.899,149,6,0,1,0,0,0,17
Hanser Alberto,30,CHW,11,16,0,0,0.652,75,32,1,1,2,1,0,90
Jorge Alfaro,30,TOT,2,4,0,0,0.503,31,14,3,2,0,0,0,52
Jorge Alfaro,30,COL,2,4,0,0,0.575,43,12,2,1,0,0,0,32
Jorge Alfaro,30,BOS,0,0,0,0,0.368,5,2,1,1,0,0,0,20
Greg Allen#,30,NYY,6,1,3,1,0.812,119,11,0,2,1,0,0,28
Brian Anderson,30,MIL,38,40,1,3,0.678,86,117,10,4,0,3,0,361
Tim Anderson,30,CHW,52,25,13,2,0.582,60,146,15,3,0,2,0,524
Javier Báez,30,DET,58,59,12,0,0.593,62,166,12,9,0,3,0,547
Scott Barlow,30,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Scott Barlow,30,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Matt Beaty*,30,TOT,8,4,0,0,0.642,80,18,1,5,0,0,0,72
Matt Beaty*,30,SFG,1,1,0,0,0.4,12,1,0,0,0,0,0,5
Matt Beaty*,30,KCR,7,3,0,0,0.662,86,17,1,5,0,0,0,67
Josh Bell#,30,TOT,52,74,0,1,0.744,104,229,13,2,0,3,2,617
