Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
Josh Bell#,30,CLE,26,48,0,1,0.701,96,133,7,1,0,2,1,393
Josh Bell#,30,MIA,26,26,0,0,0.818,119,96,6,1,0,1,1,224
Mookie Betts,30,LAD,126,107,14,3,0.987,163,338,5,8,0,5,3,693
Dairon Blanco,30,KCR,19,18,24,5,0.775,111,56,2,2,2,0,0,138
Xander Bogaerts,30,SDP,83,58,19,2,0.79,120,262,21,7,0,6,0,665
Seth Brown*,30,OAK,33,52,3,1,0.692,96,139,6,2,1,2,1,378
Jake Cave*,30,PHI,18,21,3,0,0.62,69,64,3,1,1,2,0,203
Matt Chapman,30,TOR,66,54,4,2,0.755,108,216,4,8,0,2,1,581
Taylor Clarke,30,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Michael Conforto*,30,SFG,58,58,4,0,0.718,99,156,12,7,0,4,4,470
J.D. Davis,30,SFG,61,69,1,0,0.738,103,198,16,6,0,6,0,546
Brandon Drury,30,LAA,61,83,0,2,0.803,114,241,14,8,0,5,0,523
Mike Ford*,30,SEA,32,34,0,0,0.798,122,104,4,7,0,1,0,251
Michael Fulmer,30,CHC,0,0,0,0,0,-100,0,0,0,0,0,0,1
Cam Gallagher,30,CLE,6,7,0,0,0.322,-9,24,3,1,0,1,0,149
Adolis García,30,TEX,108,107,9,1,0.836,123,282,12,6,0,6,0,632
Eric Haase,30,TOT,22,26,4,1,0.528,45,77,11,0,1,1,1,293
Eric Haase,30,DET,22,26,3,1,0.53,45,75,10,0,1,1,1,282
Eric Haase,30,CLE,0,0,1,0,0.473,36,2,1,0,0,0,0,11
Bryce Harper*,30,PHI,84,72,11,3,0.9,146,228,10,5,0,4,8,546
Austin Hedges,30,TOT,14,16,1,0,0.461,27,42,7,2,10,3,0,212
Austin Hedges,30,PIT,13,14,1,0,0.467,29,37,7,2,9,3,0,187
Austin Hedges,30,TEX,1,2,0,0,0.417,14,5,0,0,1,0,0,25
Teoscar Hernández,30,SEA,70,93,7,2,0.741,106,272,6,8,0,7,2,678
Andy Ibáñez,30,DET,42,41,1,0,0.744,102,154,7,1,1,1,0,383
Connor Joe,30,PIT,63,42,3,5,0.76,107,174,4,8,0,1,0,472
Jakob Junis,30,SFG,0,0,0,0,,,0,0,0,0,0,0,0
Max Kepler*,30,MIN,72,66,1,1,0.816,121,212,9,4,0,4,0,491
Tim Locastro,30,NYM,13,3,6,0,0.731,102,22,0,6,2,0,0,67
Manny Machado,30,SDP,75,91,3,2,0.782,115,251,20,2,0,6,1,601
Phil Maton,30,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Dylan Moore,30,SEA,18,19,7,3,0.731,104,62,1,4,0,0,0,165
James Naile,30,STL,0,0,0,0,,,0,0,0,0,0,0,0
Brandon Nimmo*,30,NYM,89,68,3,3,0.829,127,276,6,11,1,4,0,682
Michael Pérez*,30,NYM,1,0,0,0,1.125,209,5,0,0,0,0,0,8
Nick Pivetta,30,BOS,0,0,0,0,,,0,0,0,0,0,0,0
Jurickson Profar#,30,TOT,55,46,1,0,0.689,80,169,11,6,0,5,0,521
Jurickson Profar#,30,COL,51,39,1,0,0.68,76,151,9,6,0,5,0,472
Jurickson Profar#,30,SDP,4,7,0,0,0.776,117,18,2,0,0,0,0,49
Juniel Querecuto#,30,STL,2,0,0,0,0.293,-19,3,0,0,0,0,0,21
José Ramírez#,30,CLE,87,80,28,6,0.831,131,290,8,1,0,6,22,691
Jordan Romano,30,TOR,0,0,0,0,,,0,0,0,0,0,0,0
Gary Sánchez,30,TOT,33,47,0,0,0.78,113,118,3,4,0,2,0,267
Gary Sánchez,30,NYM,0,1,0,0,0.31,-15,1,0,0,0,1,0,7
Gary Sánchez,30,SDP,33,46,0,0,0.792,116,117,3,4,0,1,0,260
Tayler Saucedo*,30,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Kyle Schwarber*,30,PHI,108,104,0,2,0.817,122,277,4,6,0,3,5,720
Austin Slater,30,SFG,24,20,2,2,0.748,107,74,2,2,0,0,0,207
Trevor Story,30,BOS,12,14,10,3,0.566,52,50,2,1,0,0,0,168
Garrett Stubbs*,30,PHI,15,12,2,0,0.557,54,32,0,2,1,0,0,125
Jose Trevino,30,NYY,15,15,0,0,0.57,56,49,6,2,1,0,0,168
Trea Turner,30,PHI,102,76,30,0,0.778,111,293,12,6,0,1,2,691
Daniel Vogelbach*,30,NYM,33,48,0,0,0.742,104,111,6,2,0,0,1,319
Christian Bethancourt,31,TBR,49,33,1,0,0.635,74,120,6,0,1,3,0,332
Kris Bryant,31,COL,36,31,0,0,0.68,76,110,6,6,0,0,0,335
Nick Castellanos,31,PHI,79,106,11,2,0.788,112,298,17,3,0,6,0,671
Willson Contreras,31,STL,55,67,6,3,0.826,124,200,12,13,1,2,0,495
Jonathan Davis,31,MIA,22,10,1,2,0.685,85,34,1,2,2,2,0,104
Yandy Díaz,31,TBR,95,78,0,1,0.932,158,274,16,8,0,2,0,600
Brandon Dixon,31,SDP,10,9,1,0,0.573,59,26,1,4,0,2,0,86
Hunter Dozier,31,KCR,8,9,2,0,0.558,53,25,0,0,0,1,0,91
Adam Engel,31,SDP,0,0,0,1,0,-100,0,0,0,0,0,0,6
Wilmer Flores,31,SFG,51,60,0,0,0.863,136,206,13,5,0,3,1,454
Adam Frazier*,31,BAL,59,60,11,4,0.696,94,163,4,4,4,2,0,455
Ben Gamel*,31,SDP,2,2,0,0,0.467,29,4,0,0,0,0,0,15
Kyle Garlick,31,MIN,2,4,0,0,0.662,77,12,0,0,0,0,0,30
Jon Gray,31,TEX,0,0,0,0,,,0,0,0,0,0,0,0
Randal Grichuk,31,TOT,65,44,2,2,0.779,103,199,11,6,0,2,2,471
Randal Grichuk,31,COL,40,27,2,2,0.861,120,119,6,4,0,1,2,263
Randal Grichuk,31,LAA,25,17,0,0,0.677,80,80,5,2,0,1,0,208
Enrique Hernández,31,TOT,57,61,4,1,0.646,74,166,17,3,0,6,1,508
Enrique Hernández,31,BOS,38,31,3,1,0.599,62,95,11,2,0,2,0,323
Enrique Hernández,31,LAD,19,30,1,0,0.731,95,71,6,1,0,4,1,185
Aaron Judge,31,NYY,79,75,3,1,1.019,175,225,5,0,0,3,9,458
Tony Kemp*,31,OAK,42,27,15,4,0.607,76,109,9,6,7,3,0,419
Trey Mancini,31,CHC,31,28,0,0,0.635,71,79,5,2,0,3,1,263
Tim Mayza*,31,TOR,0,0,0,0,,,0,0,0,0,0,0,0
Jeff McNeil*,31,NYM,75,55,10,0,0.711,96,221,5,18,3,3,0,648
Joey Meneses,31,WSN,71,89,0,0,0.722,99,245,15,5,0,3,0,657
Julian Merryweather,31,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Omar Narváez*,31,NYM,12,7,0,0,0.58,61,38,1,0,1,3,0,146
Chris Owings,31,PIT,0,0,0,0,0.32,-12,4,1,0,0,0,0,25
Joc Pederson*,31,SFG,59,51,0,0,0.764,111,149,12,7,0,3,6,425
Henry Ramos#,31,CIN,9,5,2,1,0.66,80,23,2,1,0,0,0,86
Hunter Renfroe,31,TOT,60,60,0,0,0.713,91,207,15,3,0,3,0,548
Hunter Renfroe,31,LAA,56,56,0,0,0.737,98,199,15,3,0,3,0,504
Hunter Renfroe,31,CIN,4,4,0,0,0.432,18,8,0,0,0,0,0,44
Eddie Rosario*,31,ATL,64,74,3,4,0.755,100,215,13,1,1,2,1,516
Jonathan Schoop,31,DET,15,7,0,0,0.55,53,37,6,0,0,2,0,151
Tayler Scott,31,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Tayler Scott,31,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Tayler Scott,31,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Tayler Scott,31,BOS,0,0,0,0,,,0,0,0,0,0,0,0
Jon Singleton*,31,TOT,11,12,0,0,0.53,48,24,2,0,0,1,0,105
Jon Singleton*,31,MIL,3,2,0,0,0.325,-8,4,0,0,0,0,0,32
Jon Singleton*,31,HOU,8,10,0,0,0.624,73,20,2,0,0,1,0,73
Jorge Soler,31,MIA,77,75,1,0,0.853,128,258,20,6,0,4,4,580
Ryne Stanek,31,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Eugenio Suárez,31,SEA,68,96,2,1,0.714,101,234,10,15,0,11,0,694
Domingo Tapia,31,SDP,0,0,0,0,,,0,0,0,0,0,0,0
Mike Trout,31,LAA,54,44,2,0,0.858,131,151,4,7,0,2,2,362
Gio Urshela,31,LAA,22,24,3,2,0.703,91,80,9,1,0,3,0,228
Ildemaro Vargas#,31,WSN,32,31,1,1,0.666,84,95,10,1,3,1,0,286
Chad Wallach,31,LAA,18,15,0,1,0.635,70,59,5,0,2,0,0,172
Patrick Wisdom,31,CHC,43,46,4,2,0.789,107,134,4,2,1,1,0,302
Ryan Yarbrough,31,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Ryan Yarbrough,31,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Christian Yelich*,31,MIL,106,76,28,3,0.818,124,246,15,3,0,1,7,632
Nolan Arenado,32,STL,71,93,3,3,0.774,109,257,21,3,0,8,5,612
Tucker Barnhart*,32,CHC,6,9,1,0,0.541,48,28,4,1,0,1,0,123
Ji Man Choi*,32,TOT,12,13,0,0,0.624,68,40,2,1,0,2,0,117
Ji Man Choi*,32,PIT,9,11,0,0,0.731,92,37,1,0,0,1,0,76
Ji Man Choi*,32,SDP,3,2,0,0,0.365,9,3,1,1,0,1,0,41
Garrett Cooper,32,TOT,42,61,0,0,0.724,96,177,15,2,0,2,0,457
Garrett Cooper,32,MIA,28,46,0,0,0.723,93,130,9,1,0,1,0,324
Garrett Cooper,32,SDP,14,15,0,0,0.725,102,47,6,1,0,1,0,133
Aledmys Díaz,32,OAK,25,24,1,0,0.616,76,106,14,7,1,4,2,344
Elías Díaz,32,COL,48,72,1,0,0.725,86,199,12,2,0,4,0,526
Matt Duffy,32,KCR,17,16,1,0,0.631,75,62,4,4,0,2,0,209
Buck Farmer*,32,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Kyle Farmer,32,MIN,49,46,2,4,0.725,98,137,7,8,0,2,0,369
Avisaíl García,32,MIA,8,12,2,0,0.556,50,34,1,2,0,0,1,118
Mitch Garver,32,TEX,45,50,0,0,0.87,134,148,6,3,0,0,1,344
Kendall Graveman,32,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Kendall Graveman,32,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Billy Hamilton,32,CHW,2,0,2,0,0,-100,0,0,0,0,0,0,2
Mitch Haniger,32,SFG,27,28,1,0,0.631,73,77,7,2,0,1,0,229
Tyler Heineman#,32,TOT,5,3,1,0,0.699,98,12,0,1,0,0,0,47
Tyler Heineman#,32,PIT,1,0,1,0,0.311,-11,1,0,0,0,0,0,10
Tyler Heineman#,32,TOR,4,3,0,0,0.812,129,11,0,1,0,0,0,37
Travis Jankowski*,32,TEX,34,30,19,1,0.689,90,82,6,2,1,2,0,287
Pierce Johnson,32,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Pierce Johnson,32,COL,0,0,0,0,,,0,0,0,0,0,0,0
Jake Lamb*,32,LAA,7,5,0,0,0.612,65,18,1,0,0,0,0,54
Derek Law,32,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Mark Leiter Jr.,32,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Luke Maile,32,CIN,17,25,2,1,0.699,87,70,8,5,1,0,0,199
Jake Marisnick,32,TOT,10,10,2,2,0.672,81,29,4,1,1,1,0,77
Jake Marisnick,32,TOT,10,10,2,3,0.688,86,31,4,2,1,1,0,83
Jake Marisnick,32,CHW,1,0,0,0,0,-100,0,0,0,0,0,0,2
Jake Marisnick,32,DET,9,10,2,2,0.691,86,29,4,1,1,1,0,75
Jake Marisnick,32,LAD,0,0,0,1,0.9,149,2,0,1,0,0,0,6
Shelby Miller,32,LAD,0,0,0,0,0,-100,0,0,0,0,0,0,1
Rafael Montero,32,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Max Muncy*,32,LAD,95,105,1,2,0.808,115,229,8,6,0,6,4,579
Tom Murphy,32,SEA,19,17,0,0,0.873,142,78,4,1,0,2,0,159
Wil Myers,32,CIN,11,12,2,1,0.541,46,36,3,0,1,1,0,141
Tyler Naquin*,32,CHW,0,0,0,0,0,-100,0,0,0,0,0,0,8
Rafael Ortega*,32,NYM,16,8,6,1,0.613,73,31,0,1,1,0,0,136
Marcell Ozuna,32,ATL,84,100,0,0,0.905,138,296,9,3,0,2,1,592
Emilio Pagán*,32,MIN,0,0,0,0,,,0,0,0,0,0,0,0
Carlos Pérez,32,OAK,17,20,0,0,0.65,85,60,4,4,1,3,0,189
J.T. Realmuto,32,PHI,70,63,16,5,0.762,106,221,10,9,0,5,3,540
Rob Refsnyder,32,BOS,31,28,7,2,0.682,87,64,8,5,1,1,0,243
Matt Reynolds,32,CIN,1,0,0,0,0.4,9,1,0,0,0,0,0,5
Taylor Rogers*,32,SFG,0,0,0,0,,,0,0,0,0,0,0,0
Tyler Rogers,32,SFG,0,0,0,0,,,0,0,0,0,0,0,0
Marcus Semien,32,TEX,122,100,14,3,0.826,122,320,5,5,0,5,1,753
Mike Tauchman*,32,CHC,64,48,7,1,0.739,100,127,3,4,1,3,1,401
Chris Taylor,32,LAD,51,56,16,3,0.746,100,142,2,4,0,1,2,384
Michael A. Taylor,32,MIN,48,51,13,1,0.72,94,157,7,3,3,1,0,388
Trayce Thompson,32,TOT,17,17,2,0,0.579,58,45,1,2,0,0,0,179
Trayce Thompson,32,LAD,12,14,0,0,0.677,82,26,0,1,0,0,0,87
Trayce Thompson,32,CHW,5,3,2,0,0.493,37,19,1,1,0,0,0,92
Justin Topa,32,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Christian Vázquez,32,MIN,34,32,1,0,0.598,65,104,11,1,1,1,1,355
Luke Voit,32,MIL,5,4,2,0,0.548,53,18,3,2,0,0,0,74
Christian Walker,32,ARI,86,103,11,0,0.83,123,289,13,8,0,8,3,661
Nick Wittgren,32,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Kolten Wong*,32,TOT,25,27,3,2,0.519,47,59,1,5,0,3,0,250
Kolten Wong*,32,SEA,21,19,1,1,0.468,34,44,0,4,0,2,0,216
Kolten Wong*,32,LAD,4,8,2,1,0.853,127,15,1,1,0,1,0,34
Austin Wynns,32,TOT,11,10,1,0,0.545,42,36,4,2,3,1,0,145
Austin Wynns,32,SFG,0,0,0,0,0,-100,0,0,0,0,0,0,2
Austin Wynns,32,LAD,0,2,0,0,0.523,42,3,0,0,0,0,0,12
Austin Wynns,32,COL,11,8,1,0,0.555,45,33,4,2,3,1,0,131
Mike Yastrzemski*,32,SFG,54,43,2,2,0.775,113,147,5,3,2,1,3,381
Mike Zunino,32,CLE,11,11,0,0,0.578,62,38,3,1,0,0,0,140
Ehire Adrianza#,33,ATL,0,0,0,0,0.091,-72,0,0,0,0,0,0,11
Jesús Aguilar,33,OAK,8,9,0,0,0.665,89,40,3,1,0,1,2,115
Nick Ahmed,33,ARI,14,17,5,1,0.56,53,60,0,0,0,0,0,210
Scott Alexander*,33,SFG,0,0,0,0,,,0,0,0,0,0,0,0
José Altuve,33,HOU,76,51,14,2,0.915,151,188,9,5,0,1,0,410
Austin Barnes,33,LAD,15,11,2,1,0.498,36,43,7,2,1,2,0,200
Anthony Bemboom*,33,BAL,0,0,0,0,0.49,44,2,0,0,0,0,0,13
Jon Berti,33,MIA,53,33,16,6,0.748,103,157,10,2,2,3,2,424
Jackie Bradley Jr.*,33,KCR,10,6,0,0,0.397,10,22,3,2,1,0,0,113
Andrew Chafin,33,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Andrew Chafin,33,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Danny Coulombe*,33,BAL,0,0,0,0,,,0,0,0,0,0,0,0
C.J. Cron,33,TOT,38,37,0,0,0.729,87,112,13,1,0,2,0,278
C.J. Cron,33,COL,31,32,0,0,0.78,98,99,10,1,0,2,0,224
C.J. Cron,33,LAA,7,5,0,0,0.519,43,13,3,0,0,0,0,54
Freddie Freeman*,33,LAD,131,102,23,1,0.976,161,361,14,16,0,5,12,730
Robbie Grossman#,33,TEX,56,49,1,0,0.734,100,139,8,2,0,8,0,420
Jason Heyward*,33,LAD,56,40,2,2,0.813,117,158,7,3,0,3,1,377
Aaron Hicks#,33,TOT,44,36,6,0,0.735,106,103,3,0,0,1,1,312
Aaron Hicks#,33,NYY,9,5,0,0,0.524,45,18,0,0,0,0,0,76
Aaron Hicks#,33,BAL,35,31,6,0,0.806,127,85,3,0,0,1,1,236
Kyle Higashioka,33,NYY,24,34,0,0,0.687,85,100,5,0,1,3,0,260
Eric Hosmer*,33,CHC,7,14,0,0,0.61,64,31,5,0,0,0,0,100
Kevin Kiermaier*,33,TOR,58,36,14,1,0.741,104,155,9,4,1,4,0,408
Nick Martini*,33,CIN,10,16,0,0,0.912,139,42,1,2,0,0,0,79
James McCann,33,BAL,25,26,3,1,0.646,79,78,5,5,3,2,0,226
Scott McGough,33,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Brad Miller*,33,TEX,8,6,0,0,0.668,83,19,1,0,0,1,0,67
Taylor Motter,33,STL,3,2,0,0,0.442,23,16,0,1,0,0,0,82
Austin Nola,33,SDP,9,8,0,0,0.452,30,25,5,2,4,0,0,154
Salvador Pérez,33,KCR,59,80,0,0,0.714,94,227,11,13,0,8,6,580
Jace Peterson*,33,TOT,35,37,15,2,0.611,75,115,7,4,2,3,2,430
Jace Peterson*,33,OAK,30,28,11,1,0.637,84,91,6,3,1,3,1,324
Jace Peterson*,33,ARI,5,9,4,1,0.534,48,24,1,1,1,0,1,106
Anthony Rendon,33,LAA,23,22,2,0,0.678,88,47,6,6,0,4,0,183
Anthony Rizzo*,33,NYY,45,41,0,3,0.706,94,141,10,12,0,1,1,421
Jean Segura,33,MIA,25,21,6,2,0.556,52,84,12,2,1,0,1,326
Paul Sewald,33,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Paul Sewald,33,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Paul Sewald,33,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Will Smith,33,TEX,0,0,0,0,,,0,0,0,0,0,0,0
George Springer,33,TOR,87,72,20,5,0.732,102,248,20,5,0,3,1,683
Jacob Stallings,33,MIA,22,20,0,0,0.565,54,69,9,3,3,2,0,276
Giancarlo Stanton,33,NYY,43,60,0,0,0.695,87,156,11,2,0,1,3,415
Brent Suter*,33,COL,0,0,0,0,,,0,0,0,0,0,0,0
Joey Wendle*,33,MIA,33,20,7,1,0.554,50,91,8,2,3,3,0,318
Abraham Almonte#,34,NYM,1,0,0,0,0.258,-28,2,0,0,0,0,0,16
Elvis Andrus,34,CHW,39,44,12,4,0.662,81,134,11,4,1,2,1,406
Mark Canha,34,TOT,51,62,11,1,0.755,108,174,11,17,0,6,1,507
Mark Canha,34,NYM,28,29,7,0,0.725,100,98,8,9,0,5,0,303
Mark Canha,34,MIL,23,33,4,1,0.8,120,76,3,8,0,1,1,204
Curt Casali,34,CIN,8,6,0,0,0.49,36,16,1,2,3,0,0,96
Charlie Culberson,34,ATL,0,0,0,0,2,443,1,0,0,0,0,0,1
Travis d'Arnaud,34,ATL,31,39,0,0,0.685,82,106,6,3,0,1,0,292
Corey Dickerson*,34,WSN,12,17,0,1,0.637,76,51,3,0,0,1,0,152
Adam Duvall,34,BOS,45,58,4,0,0.834,119,170,0,6,0,5,1,353
Eduardo Escobar#,34,TOT,32,31,2,1,0.613,67,99,7,0,1,2,0,309
Eduardo Escobar#,34,NYM,15,16,2,0,0.695,89,45,4,0,1,1,0,120
Eduardo Escobar#,34,LAA,17,15,0,1,0.563,53,54,3,0,0,1,0,189
Yasmani Grandal#,34,CHW,33,33,0,0,0.647,77,123,11,4,0,2,1,405
Tommy La Stella*,34,SEA,2,2,0,0,0.53,53,5,0,0,0,0,0,24
DJ LeMahieu,34,NYY,55,44,2,2,0.718,96,194,14,3,0,2,2,562
Sandy León#,34,TEX,4,4,0,0,0.381,4,8,2,1,1,0,0,44
Drew Maggi,34,PIT,1,1,0,0,0.833,124,3,0,0,0,0,0,6
Starling Marte,34,NYM,38,28,24,4,0.625,73,102,8,8,2,0,1,341
Whit Merrifield,34,TOR,66,67,26,10,0.7,94,209,15,3,0,6,2,592
Mike Moustakas*,34,TOT,43,48,0,0,0.685,81,138,7,3,0,8,1,386
Mike Moustakas*,34,COL,21,17,0,0,0.795,105,50,1,1,0,3,1,136
Mike Moustakas*,34,LAA,22,31,0,0,0.627,68,88,6,2,0,5,0,250
Héctor Neris,34,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Roberto Pérez,34,SFG,0,1,0,0,0.369,7,2,0,0,0,0,0,17
Kevin Pillar,34,ATL,29,32,4,1,0.664,74,82,2,0,0,3,0,206
Ryan Pressly,34,HOU,0,0,0,0,,,0,0,0,0,0,0,0
Miguel Rojas,34,LAD,49,31,8,3,0.612,66,124,12,5,2,5,0,423
Drew Smyly*,34,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Brandon Belt*,35,TOR,53,43,0,0,0.858,136,166,5,2,0,2,1,404
Ryan Brasier,35,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Ryan Brasier,35,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Kole Calhoun*,35,CLE,18,25,0,1,0.657,82,59,3,2,0,2,0,174
Aroldis Chapman*,35,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Aroldis Chapman*,35,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Kyle Gibson,35,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Paul Goldschmidt,35,STL,89,80,11,2,0.81,120,265,12,3,0,3,6,687
Yan Gomes,35,CHC,44,63,1,0,0.723,93,156,9,9,0,7,1,419
Josh Harrison,35,PHI,8,10,0,0,0.554,53,30,2,6,0,2,0,114
Kenley Jansen#,35,BOS,0,0,0,0,,,0,0,0,0,0,0,0
J.D. Martinez,35,LAD,61,103,1,0,0.893,134,247,11,2,0,9,1,479
David Peralta*,35,LAD,47,55,4,1,0.675,81,150,8,2,0,6,1,422
Tommy Pham,35,TOT,55,68,22,3,0.774,111,190,11,2,0,6,1,481
Tommy Pham,35,NYM,29,36,11,1,0.82,124,109,2,1,0,3,1,264
Tommy Pham,35,ARI,26,32,11,2,0.72,95,81,9,1,0,3,0,217
AJ Pollock,35,TOT,15,15,0,1,0.524,46,41,1,0,0,2,0,144
AJ Pollock,35,SEA,15,15,0,1,0.547,53,41,1,0,0,2,0,138
AJ Pollock,35,SFG,0,0,0,0,0,-100,0,0,0,0,0,0,6
Brooks Raley*,35,NYM,0,0,0,0,,,0,0,0,0,0,0,0
Donovan Solano,35,MIN,43,38,0,0,0.76,110,154,8,15,0,1,1,450
José Abreu,36,HOU,62,90,0,1,0.68,87,207,16,6,0,6,1,594
Charlie Blackmon*,36,COL,57,40,4,1,0.803,107,158,6,11,0,4,0,413
Michael Brantley*,36,HOU,7,7,0,0,0.724,98,23,2,0,0,1,0,57
Brandon Crawford*,36,SFG,31,38,3,0,0.587,63,89,5,4,1,4,1,320
Tommy Hunter,36,NYM,0,0,0,0,,,0,0,0,0,0,0,0
Martín Maldonado,36,HOU,33,36,0,0,0.606,66,126,10,3,12,0,0,407
Andrew McCutchen,36,PIT,55,43,11,3,0.776,113,155,8,4,0,4,1,473
Manny Piña,36,OAK,1,1,0,0,0.75,108,6,1,0,0,0,0,12
Darin Ruf,36,TOT,3,3,0,0,0.619,74,14,0,0,0,0,0,57
Darin Ruf,36,SFG,1,3,0,0,0.718,102,8,0,0,0,0,0,27
Darin Ruf,36,MIL,2,0,0,0,0.531,49,6,0,0,0,0,0,30
Matt Carpenter*,37,SDP,18,31,1,0,0.641,81,60,2,2,0,5,0,237
Josh Donaldson,37,TOT,18,26,0,0,0.667,79,69,6,0,0,2,0,189
Josh Donaldson,37,NYY,13,15,0,0,0.659,75,46,2,0,0,2,0,120
Josh Donaldson,37,MIL,5,11,0,0,0.68,85,23,4,0,0,0,0,69
Evan Longoria,37,ARI,25,28,0,0,0.717,93,89,8,0,0,3,0,237
Chris Martin,37,BOS,0,0,0,0,,,0,0,0,0,0,0,0
Carlos Santana#,37,TOT,78,86,6,0,0.747,103,236,11,0,0,4,0,619
Carlos Santana#,37,PIT,45,53,6,0,0.732,99,142,3,0,0,3,0,393
Carlos Santana#,37,MIL,33,33,0,0,0.773,109,94,8,0,0,1,0,226
Justin Turner,38,BOS,86,96,4,1,0.8,114,254,10,11,0,6,0,626
Zack Greinke,39,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Yuli Gurriel,39,MIA,32,27,4,0,0.663,79,107,13,1,0,4,3,329
Joey Votto*,39,CIN,26,38,0,0,0.747,99,90,2,7,0,0,0,242
Miguel Cabrera,40,DET,21,34,0,0,0.675,86,118,11,2,0,3,0,370
Adam Wainwright,41,STL,0,0,0,0,0,-100,0,0,0,0,0,0,2
Nelson Cruz,42,SDP,9,23,1,0,0.681,88,57,2,2,0,1,1,152